name,bug
org.apache.tools.ant.taskdefs.War,1
org.apache.tools.ant.taskdefs.LoadProperties,0
org.apache.tools.ant.taskdefs.cvslib.ChangeLogTask,0
org.apache.tools.tar.TarOutputStream,0
org.apache.tools.ant.types.Parameterizable,0
org.apache.tools.ant.taskdefs.SignJar,0
org.apache.tools.ant.BuildLogger,0
org.apache.tools.ant.taskdefs.ExecuteOn,0
org.apache.tools.ant.taskdefs.Echo,0
org.apache.tools.ant.taskdefs.ExecuteStreamHandler,0
org.apache.tools.ant.taskdefs.Parallel,0
org.apache.tools.ant.TaskContainer,0
org.apache.tools.ant.filters.StripLineBreaks,0
org.apache.tools.ant.types.Environment,0
org.apache.tools.ant.taskdefs.DependSet,0
org.apache.tools.ant.types.selectors.ExtendSelector,0
org.apache.tools.ant.taskdefs.Available,0
org.apache.tools.ant.types.selectors.FileSelector,0
org.apache.tools.ant.filters.StripLineComments,0
org.apache.tools.ant.taskdefs.Sequential,0
org.apache.tools.ant.util.TaskLogger,0
org.apache.tools.ant.taskdefs.compilers.Gcj,0
org.apache.tools.ant.types.selectors.FilenameSelector,0
org.apache.tools.ant.taskdefs.condition.Http,1
org.apache.tools.ant.taskdefs.GUnzip,0
org.apache.tools.ant.taskdefs.FixCRLF,1
org.apache.tools.ant.types.selectors.SelectorScanner,0
org.apache.tools.ant.util.KeepAliveOutputStream,0
org.apache.tools.ant.PathTokenizer,0
org.apache.tools.ant.taskdefs.Definer,0
org.apache.tools.ant.input.InputHandler,0
org.apache.tools.ant.taskdefs.BUnzip2,0
org.apache.tools.ant.ProjectHelper,0
org.apache.tools.ant.types.CommandlineJava,0
org.apache.tools.ant.filters.TailFilter,0
org.apache.tools.ant.taskdefs.XSLTLoggerAware,0
org.apache.tools.ant.listener.MailLogger,0
org.apache.tools.ant.taskdefs.Concat,0
org.apache.tools.ant.BuildEvent,0
org.apache.tools.ant.taskdefs.Delete,0
org.apache.tools.ant.taskdefs.Untar,0
org.apache.tools.ant.taskdefs.ManifestTask,0
org.apache.tools.zip.AsiExtraField,0
org.apache.tools.ant.types.Substitution,0
org.apache.tools.ant.filters.LineContains,0
org.apache.tools.ant.taskdefs.MatchingTask,0
org.apache.tools.ant.taskdefs.Copy,0
org.apache.tools.ant.types.DTDLocation,0
org.apache.tools.ant.taskdefs.Typedef,0
org.apache.tools.ant.types.FlexInteger,0
org.apache.tools.ant.taskdefs.Sleep,0
org.apache.tools.ant.taskdefs.cvslib.ChangeLogWriter,0
org.apache.tools.ant.taskdefs.cvslib.RedirectingStreamHandler,0
org.apache.tools.ant.types.Reference,0
org.apache.tools.ant.taskdefs.Chmod,0
org.apache.tools.ant.util.StringUtils,0
org.apache.tools.ant.taskdefs.XmlProperty,1
org.apache.tools.ant.TaskAdapter,1
org.apache.tools.ant.filters.PrefixLines,0
org.apache.tools.ant.taskdefs.compilers.Javac13,0
org.apache.tools.ant.filters.HeadFilter,0
org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter,1
org.apache.tools.ant.NoBannerLogger,0
org.apache.tools.mail.MailMessage,0
org.apache.tools.ant.filters.BaseParamFilterReader,0
org.apache.tools.ant.taskdefs.XSLTLogger,0
org.apache.tools.ant.DefaultLogger,0
org.apache.tools.tar.TarInputStream,0
org.apache.tools.ant.taskdefs.condition.Condition,0
org.apache.tools.ant.taskdefs.cvslib.RedirectingOutputStream,0
org.apache.tools.ant.taskdefs.condition.Contains,0
org.apache.tools.ant.helper.ProjectHelperImpl,0
org.apache.tools.ant.taskdefs.Ear,1
org.apache.tools.ant.taskdefs.Taskdef,0
org.apache.tools.ant.filters.TabsToSpaces,0
org.apache.tools.ant.util.regexp.RegexpMatcher,0
org.apache.tools.ant.filters.BaseFilterReader,0
org.apache.tools.zip.ZipOutputStream,0
org.apache.tools.zip.UnrecognizedExtraField,0
org.apache.tools.ant.UnknownElement,0
org.apache.tools.ant.taskdefs.email.Message,1
org.apache.tools.ant.taskdefs.CVSPass,0
org.apache.tools.ant.ProjectComponent,0
org.apache.tools.ant.taskdefs.GZip,0
org.apache.tools.ant.taskdefs.condition.ConditionBase,0
org.apache.tools.ant.filters.ReplaceTokens,0
org.apache.tools.ant.util.RegexpPatternMapper,0
org.apache.tools.ant.taskdefs.email.EmailTask,1
org.apache.tools.ant.taskdefs.email.PlainMailer,0
org.apache.tools.ant.BuildException,0
org.apache.tools.ant.taskdefs.rmic.WLRmic,0
org.apache.tools.bzip2.CBZip2OutputStream,0
org.apache.tools.ant.util.DateUtils,0
org.apache.tools.ant.taskdefs.condition.Not,0
org.apache.tools.ant.types.selectors.SelectorContainer,0
org.apache.tools.ant.taskdefs.Exit,0
org.apache.tools.ant.taskdefs.Copyfile,0
org.apache.tools.ant.taskdefs.RecorderEntry,0
org.apache.tools.ant.taskdefs.Javac,0
org.apache.tools.ant.taskdefs.Tar,1
org.apache.tools.ant.taskdefs.XSLTLiaison,0
org.apache.tools.ant.taskdefs.email.EmailAddress,0
org.apache.tools.ant.util.TimeoutObserver,0
org.apache.tools.ant.taskdefs.rmic.SunRmic,0
org.apache.tools.ant.types.ZipScanner,0
org.apache.tools.ant.types.selectors.DepthSelector,0
org.apache.tools.ant.types.PatternSet,0
org.apache.tools.ant.taskdefs.compilers.CompilerAdapterFactory,0
org.apache.tools.ant.taskdefs.Java,1
org.apache.tools.ant.util.SourceFileScanner,0
org.apache.tools.ant.types.EnumeratedAttribute,0
org.apache.tools.ant.taskdefs.Dirname,0
org.apache.tools.zip.ExtraFieldUtils,0
org.apache.tools.ant.types.selectors.BaseSelectorContainer,0
org.apache.tools.ant.taskdefs.Touch,0
org.apache.tools.ant.taskdefs.Deltree,0
org.apache.tools.ant.types.selectors.SizeSelector,0
org.apache.tools.ant.util.LoaderUtils,0
org.apache.tools.ant.taskdefs.Exec,0
org.apache.tools.ant.taskdefs.Unpack,0
org.apache.tools.ant.types.DirSet,0
org.apache.tools.ant.types.AntFilterReader,0
org.apache.tools.ant.taskdefs.Tstamp,0
org.apache.tools.tar.TarConstants,0
org.apache.tools.zip.UnixStat,0
org.apache.tools.ant.filters.ClassConstants,0
org.apache.tools.ant.taskdefs.ExecTask,1
org.apache.tools.ant.taskdefs.ManifestException,0
org.apache.tools.ant.taskdefs.condition.Equals,0
org.apache.tools.ant.taskdefs.WaitFor,0
org.apache.tools.ant.taskdefs.XSLTProcess,1
org.apache.tools.ant.taskdefs.Manifest,0
org.apache.tools.ant.types.selectors.DependSelector,0
org.apache.tools.ant.util.JAXPUtils,0
org.apache.tools.tar.TarEntry,0
org.apache.tools.ant.types.ZipFileSet,1
org.apache.tools.ant.Diagnostics,0
org.apache.tools.ant.taskdefs.Ant,1
org.apache.tools.ant.taskdefs.JikesOutputParser,0
org.apache.tools.ant.taskdefs.compilers.Sj,0
org.apache.tools.ant.taskdefs.Filter,0
org.apache.tools.ant.taskdefs.condition.IsTrue,0
org.apache.tools.ant.taskdefs.Recorder,0
org.apache.tools.bzip2.CRC,0
org.apache.tools.ant.taskdefs.SQLExec,1
org.apache.tools.ant.taskdefs.ExecuteWatchdog,0
org.apache.tools.ant.taskdefs.condition.IsSet,0
org.apache.tools.ant.types.Commandline,0
org.apache.tools.ant.types.selectors.NotSelector,0
org.apache.tools.ant.filters.LineContainsRegExp,0
org.apache.tools.ant.taskdefs.LogStreamHandler,0
org.apache.tools.tar.TarUtils,0
org.apache.tools.ant.Main,1
org.apache.tools.ant.util.regexp.Regexp,0
org.apache.tools.ant.taskdefs.Mkdir,0
org.apache.tools.ant.types.selectors.SelectSelector,0
org.apache.tools.ant.util.FileNameMapper,0
org.apache.tools.ant.taskdefs.Patch,0
org.apache.tools.ant.taskdefs.Basename,0
org.apache.tools.ant.taskdefs.StreamPumper,0
org.apache.tools.ant.types.RegularExpression,0
org.apache.tools.ant.taskdefs.Cvs,0
org.apache.tools.zip.ZipExtraField,0
org.apache.tools.ant.util.facade.ImplementationSpecificArgument,0
org.apache.tools.ant.types.selectors.NoneSelector,0
org.apache.tools.ant.taskdefs.Rename,0
org.apache.tools.ant.taskdefs.KeySubst,0
org.apache.tools.ant.taskdefs.condition.FilesMatch,0
org.apache.tools.ant.filters.ExpandProperties,0
org.apache.tools.ant.DirectoryScanner,0
org.apache.tools.ant.taskdefs.ProcessDestroyer,1
org.apache.tools.ant.types.selectors.PresentSelector,0
org.apache.tools.ant.types.FilterSetCollection,0
org.apache.tools.ant.taskdefs.GenerateKey,0
org.apache.tools.ant.input.PropertyFileInputHandler,0
org.apache.tools.ant.types.selectors.OrSelector,0
org.apache.tools.ant.filters.util.ChainReaderHelper,0
org.apache.tools.ant.taskdefs.PumpStreamHandler,1
org.apache.tools.ant.taskdefs.Checksum,0
org.apache.tools.ant.types.FilterChain,0
org.apache.tools.ant.util.IdentityMapper,0
org.apache.tools.ant.types.selectors.DateSelector,0
org.apache.tools.ant.taskdefs.ExecuteJava,1
org.apache.tools.ant.filters.StringInputStream,0
org.apache.tools.ant.Task,0
org.apache.tools.ant.taskdefs.compilers.Jikes,0
org.apache.tools.ant.taskdefs.BuildNumber,0
org.apache.tools.ant.taskdefs.compilers.Kjc,0
org.apache.tools.ant.listener.AnsiColorLogger,0
org.apache.tools.ant.util.PackageNameMapper,0
org.apache.tools.ant.types.selectors.ContainsSelector,0
org.apache.tools.ant.taskdefs.rmic.DefaultRmicAdapter,0
org.apache.tools.ant.types.Parameter,0
org.apache.tools.ant.IntrospectionHelper,0
org.apache.tools.ant.taskdefs.compilers.Javac12,0
org.apache.tools.ant.types.FileSet,0
org.apache.tools.ant.input.MultipleChoiceInputRequest,0
org.apache.tools.ant.taskdefs.condition.IsFalse,0
org.apache.tools.ant.types.selectors.MajoritySelector,0
org.apache.tools.ant.DemuxOutputStream,0
org.apache.tools.ant.util.regexp.RegexpFactory,0
org.apache.tools.zip.ZipShort,0
org.apache.tools.ant.BuildListener,0
org.apache.tools.ant.taskdefs.Pack,0
org.apache.tools.ant.types.Mapper,0
org.apache.tools.ant.types.selectors.BaseExtendSelector,0
org.apache.tools.ant.taskdefs.cvslib.CvsUser,0
org.apache.tools.ant.taskdefs.BZip2,0
org.apache.tools.ant.util.CollectionUtils,0
org.apache.tools.ant.util.regexp.RegexpUtil,0
org.apache.tools.bzip2.CBZip2InputStream,0
org.apache.tools.ant.util.FileUtils,1
org.apache.tools.ant.taskdefs.Rmic,0
org.apache.tools.ant.taskdefs.TaskOutputStream,0
org.apache.tools.ant.taskdefs.AbstractCvsTask,1
org.apache.tools.mail.ErrorInQuitException,0
org.apache.tools.ant.taskdefs.rmic.RmicAdapterFactory,0
org.apache.tools.ant.taskdefs.cvslib.RCSFile,0
org.apache.tools.ant.XmlLogger,1
org.apache.tools.ant.types.Description,0
org.apache.tools.ant.Location,0
org.apache.tools.ant.taskdefs.compilers.JavacExternal,0
org.apache.tools.ant.util.FlatFileNameMapper,0
org.apache.tools.ant.taskdefs.Transform,0
org.apache.tools.ant.util.GlobPatternMapper,0
org.apache.tools.ant.util.MergingMapper,0
org.apache.tools.ant.taskdefs.Execute,1
org.apache.tools.ant.taskdefs.email.Mailer,0
org.apache.tools.ant.util.JavaEnvUtils,0
org.apache.tools.ant.filters.StripJavaComments,0
org.apache.tools.mail.SmtpResponseReader,0
org.apache.tools.ant.taskdefs.LoadFile,0
org.apache.tools.ant.ExitException,1
org.apache.tools.ant.taskdefs.Move,0
org.apache.tools.ant.taskdefs.cvslib.CvsTagEntry,0
org.apache.tools.ant.filters.util.JavaClassHelper,0
org.apache.tools.ant.taskdefs.TempFile,0
org.apache.tools.ant.types.selectors.BaseSelector,0
org.apache.tools.ant.types.selectors.AndSelector,0
org.apache.tools.ant.taskdefs.cvslib.CvsTagDiff,2
org.apache.tools.ant.taskdefs.cvslib.CVSEntry,0
org.apache.tools.ant.taskdefs.JDBCTask,0
org.apache.tools.ant.taskdefs.ConditionTask,0
org.apache.tools.tar.TarBuffer,0
org.apache.tools.bzip2.BZip2Constants,0
org.apache.tools.ant.types.DataType,0
org.apache.tools.ant.taskdefs.Expand,1
org.apache.tools.ant.taskdefs.compilers.CompilerAdapter,0
org.apache.tools.ant.DynamicConfigurator,0
org.apache.tools.ant.types.selectors.SelectorUtils,0
org.apache.tools.ant.taskdefs.Jikes,0
org.apache.tools.zip.ZipEntry,0
org.apache.tools.ant.types.FileList,0
org.apache.tools.ant.taskdefs.Property,0
org.apache.tools.ant.FileScanner,0
org.apache.tools.ant.util.DOMElementWriter,0
org.apache.tools.ant.util.regexp.RegexpMatcherFactory,0
org.apache.tools.ant.taskdefs.Input,1
org.apache.tools.ant.taskdefs.condition.Os,0
org.apache.tools.ant.taskdefs.rmic.KaffeRmic,0
org.apache.tools.ant.input.InputRequest,0
org.apache.tools.ant.taskdefs.SendEmail,0
org.apache.tools.ant.taskdefs.PathConvert,0
org.apache.tools.ant.taskdefs.CallTarget,0
org.apache.tools.ant.taskdefs.LogOutputStream,0
org.apache.tools.ant.taskdefs.compilers.Jvc,0
org.apache.tools.ant.types.selectors.ExtendFileSelector,0
org.apache.tools.zip.ZipLong,0
org.apache.tools.ant.taskdefs.rmic.RmicAdapter,0
org.apache.tools.ant.filters.ChainableReader,0
org.apache.tools.ant.taskdefs.condition.Socket,0
